dataset,IR,fold,rep,best_k,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_950_arsenic-female-lung,0.03518518518518519,4,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8287037037037037,0.8127077132404329,0.8287037037037036
dataset_951_arsenic-male-lung,0.023809523809523808,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_951_arsenic-male-lung,0.023809523809523808,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_951_arsenic-male-lung,0.023809523809523808,2,0,1,0.8,1.0,0.6666666666666666,0.8333333333333333,0.816496580927726,0.8333333333333333
dataset_951_arsenic-male-lung,0.023809523809523808,3,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_951_arsenic-male-lung,0.023809523809523808,4,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_954_spectrometer,0.11554621848739496,0,0,1,0.7,0.7777777777777778,0.6363636363636364,0.8077651515151515,0.7893706737687058,0.8077651515151514
dataset_954_spectrometer,0.11554621848739496,1,0,1,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.938755980861244,0.9382871496080596,0.938755980861244
dataset_954_spectrometer,0.11554621848739496,2,0,3,0.7,0.7777777777777778,0.6363636363636364,0.8076555023923445,0.7892822734466001,0.8435406698564594
dataset_954_spectrometer,0.11554621848739496,3,0,3,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9492822966507177,0.9484310892734793,0.9933014354066986
dataset_954_spectrometer,0.11554621848739496,4,0,3,0.7,0.7777777777777778,0.6363636363636364,0.8076555023923445,0.7892822734466001,0.9349282296650718
dataset_958_segment,0.16666666666666666,0,0,1,0.9923664122137404,1.0,0.9848484848484849,0.9924242424242424,0.9923953268977463,0.9924242424242424
dataset_958_segment,0.16666666666666666,1,0,1,0.9924812030075187,0.9850746268656716,1.0,0.9987373737373737,0.9987365756167877,0.9987373737373738
dataset_958_segment,0.16666666666666666,2,0,3,0.9618320610687023,0.9692307692307692,0.9545454545454546,0.9747474747474747,0.9745381049021818,0.9982399755127028
dataset_958_segment,0.16666666666666666,3,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_958_segment,0.16666666666666666,4,0,1,0.9777777777777777,0.9565217391304348,1.0,0.9962121212121212,0.9962049198956219,0.9962121212121212
dataset_962_mfeat-morphological,0.1111111111111111,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0
