dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_38_sick,0.06523580909347641,4,0,0.6666666666666666,0.8125,0.5652173913043478,0.7783714075165806,0.7486170004828491,0.9662245148612134
dataset_450_analcatdata_lawsuit,0.07755102040816327,0,0,0.8571428571428571,1.0,0.75,0.875,0.8660254037844386,0.9948979591836734
dataset_450_analcatdata_lawsuit,0.07755102040816327,1,0,0.5714285714285714,0.6666666666666666,0.5,0.7397959183673469,0.6998542122237652,0.9872448979591837
dataset_450_analcatdata_lawsuit,0.07755102040816327,2,0,0.8571428571428571,1.0,0.75,0.875,0.8660254037844386,0.9948979591836735
dataset_450_analcatdata_lawsuit,0.07755102040816327,3,0,0.0,0.0,0.0,0.4897959183673469,0.0,0.961734693877551
dataset_450_analcatdata_lawsuit,0.07755102040816327,4,0,0.8571428571428571,0.75,1.0,0.9897959183673469,0.989743318610787,0.9829931972789115
dataset_463_backache,0.16129032258064516,0,0,0.2857142857142857,0.5,0.2,0.5838709677419355,0.4399413450640599,0.7741935483870968
dataset_463_backache,0.16129032258064516,1,0,0.0,0.0,0.0,0.45161290322580644,0.0,0.7032258064516129
dataset_463_backache,0.16129032258064516,2,0,0.0,0.0,0.0,0.5,0.0,0.6935483870967742
dataset_463_backache,0.16129032258064516,3,0,0.4444444444444444,0.5,0.4,0.667741935483871,0.6117136163165708,0.5451612903225805
dataset_463_backache,0.16129032258064516,4,0,0.3333333333333333,1.0,0.2,0.6,0.4472135954999579,0.5064516129032257
dataset_757_meta,0.11392405063291139,0,0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5942583732057416,0.4997607082897166,0.6861244019138756
dataset_757_meta,0.11392405063291139,1,0,0.0,0.0,0.0,0.5,0.0,0.6808612440191386
dataset_757_meta,0.11392405063291139,2,0,0.25,0.4,0.18181818181818182,0.5751196172248804,0.4196147697876273,0.5875598086124402
dataset_757_meta,0.11392405063291139,3,0,0.4,0.6,0.3,0.6394736842105263,0.5419263884757004,0.6573684210526316
dataset_757_meta,0.11392405063291139,4,0,0.13333333333333333,0.25,0.09090909090909091,0.5294970986460348,0.2966609798135022,0.733558994197292
dataset_764_analcatdata_apnea3,0.13924050632911392,0,0,0.125,0.2,0.09090909090909091,0.5201380897583429,0.29377899680597797,0.48849252013808975
dataset_764_analcatdata_apnea3,0.13924050632911392,1,0,0.23529411764705882,0.3333333333333333,0.18181818181818182,0.5655926352128884,0.4154662416233762,0.5724971231300345
dataset_764_analcatdata_apnea3,0.13924050632911392,2,0,0.24,0.21428571428571427,0.2727272727272727,0.5667433831990794,0.48451273376761617,0.5086306098964328
